text_id,variant,replicate,condition,reference_text,transcript,audio_path
critical_01,baseline,0,clean,"Mira Patel, your Tuesday appointment is at three thirty p m, your payment of forty five dollars is due by May fourteenth, and your reference code is seven two nine four. Do not cancel the appointment.","Mira Patel, your Tuesday appointment is at 3.30 p.m. Your payment of $45 is due by May 14th and your reference code is 7294. Do not cancel the appointment.",/content/drive/MyDrive/DataForge/delivery_ab/outputs/6bd1eb398398af0e/clips/critical_01_baseline_r0_clean.wav
critical_01,baseline,0,competing_speech_-5dB,"Mira Patel, your Tuesday appointment is at three thirty p m, your payment of forty five dollars is due by May fourteenth, and your reference code is seven two nine four. Do not cancel the appointment.","Mira Patel, your Tuesday appointment is at 3 a.m. Your payment of $45 is due by May 4th, and your reference code is 7294. Do not cancel the appointment.",/content/drive/MyDrive/DataForge/delivery_ab/outputs/6bd1eb398398af0e/clips/critical_01_baseline_r0_competing_speech_-5dB.wav
critical_01,baseline,1,clean,"Mira Patel, your Tuesday appointment is at three thirty p m, your payment of forty five dollars is due by May fourteenth, and your reference code is seven two nine four. Do not cancel the appointment.","Mira Patel, your Tuesday appointment is at 3.30 pm, your payment of $45 is due by May 14, and your reference code is 7294. Do not cancel the appointment.",/content/drive/MyDrive/DataForge/delivery_ab/outputs/6bd1eb398398af0e/clips/critical_01_baseline_r1_clean.wav
critical_01,baseline,1,competing_speech_-5dB,"Mira Patel, your Tuesday appointment is at three thirty p m, your payment of forty five dollars is due by May fourteenth, and your reference code is seven two nine four. Do not cancel the appointment.","Mira Patel, your Tuesday appointment is at 3 p.m. Section 51 by Walt Whitman. Read for LibriVox.org by Alan Davis Gray. Do not cancel the appointment.",/content/drive/MyDrive/DataForge/delivery_ab/outputs/6bd1eb398398af0e/clips/critical_01_baseline_r1_competing_speech_-5dB.wav
critical_01,clauses,0,clean,Mira Patel. Your appointment is Tuesday. The time is three thirty p m. Pay forty five dollars by May fourteenth. Your reference code is seven two nine four. Do not cancel the appointment.,Mira Patel. Your appointment is Tuesday. The time is 3.30 p.m. Pay $45 by May 14th. Your reference code is 7294. Do not cancel the appointment.,/content/drive/MyDrive/DataForge/delivery_ab/outputs/6bd1eb398398af0e/clips/critical_01_clauses_r0_clean.wav
critical_01,clauses,0,competing_speech_-5dB,Mira Patel. Your appointment is Tuesday. The time is three thirty p m. Pay forty five dollars by May fourteenth. Your reference code is seven two nine four. Do not cancel the appointment.,"Mira Patel, your appointment is necessary. Song of Myself, Section 51, by Walt Whitman, read for librovox.org by Alan Davis-Straight. Do not cancel the appointment.",/content/drive/MyDrive/DataForge/delivery_ab/outputs/6bd1eb398398af0e/clips/critical_01_clauses_r0_competing_speech_-5dB.wav
critical_01,clauses,1,clean,Mira Patel. Your appointment is Tuesday. The time is three thirty p m. Pay forty five dollars by May fourteenth. Your reference code is seven two nine four. Do not cancel the appointment.,"Mira Patel, your appointment is Tuesday. The time is 3.30 p.m. Pay $45 by May 14th. Your reference code is 7294. Do not cancel the appointment.",/content/drive/MyDrive/DataForge/delivery_ab/outputs/6bd1eb398398af0e/clips/critical_01_clauses_r1_clean.wav
critical_01,clauses,1,competing_speech_-5dB,Mira Patel. Your appointment is Tuesday. The time is three thirty p m. Pay forty five dollars by May fourteenth. Your reference code is seven two nine four. Do not cancel the appointment.,"Mira Patel, your appointment is Tuesday, time is 3.30pm, Section 51, pay $45 by May 14th, your reference code is 7294. Do not cancel the appointment.",/content/drive/MyDrive/DataForge/delivery_ab/outputs/6bd1eb398398af0e/clips/critical_01_clauses_r1_competing_speech_-5dB.wav
critical_01,repeat,0,clean,"Mira Patel, your Tuesday appointment is at three thirty p m, your payment of forty five dollars is due by May fourteenth, and your reference code is seven two nine four. Do not cancel the appointment. Again, your reference code is seven two nine four.","Mira Patel, your Tuesday appointment is at 3.30 pm, your payment of $45 is due by May 14th, and your reference code is 7294. Do not cancel the appointment. Again, your reference code is 7294.",/content/drive/MyDrive/DataForge/delivery_ab/outputs/6bd1eb398398af0e/clips/critical_01_repeat_r0_clean.wav
critical_01,repeat,0,competing_speech_-5dB,"Mira Patel, your Tuesday appointment is at three thirty p m, your payment of forty five dollars is due by May fourteenth, and your reference code is seven two nine four. Do not cancel the appointment. Again, your reference code is seven two nine four.","Mira Patel, your Tuesday appointment is at 3.30pm, your payment is $45 due by May 14th, and your reference code is 7294. Do not cancel the appointment. Again, your reference code is 7294.",/content/drive/MyDrive/DataForge/delivery_ab/outputs/6bd1eb398398af0e/clips/critical_01_repeat_r0_competing_speech_-5dB.wav
