clip_id,text_id,replicate,condition,reference_text,transcript,audio_path,fact_id,conflict
critical_04_baseline_r1_competing_speech_0dB,critical_04,1,competing_speech_0dB,"Leo Martin, your Monday appointment is at nine twenty a m, your payment of thirty dollars is due by August sixth, and your reference code is five four eight two. Do not share the code.","Leo Martin, your Monday appointment is at 9.28am, your payment of $30 is due by August 6th, and your reference code is 548. Do not share the code.",/content/drive/MyDrive/DataForge/noise_masking/outputs/6bd1eb398398af0e/clips/critical_04_baseline_r1_competing_speech_0dB.wav,time,False
critical_04_baseline_r1_competing_speech_0dB,critical_04,1,competing_speech_0dB,"Leo Martin, your Monday appointment is at nine twenty a m, your payment of thirty dollars is due by August sixth, and your reference code is five four eight two. Do not share the code.","Leo Martin, your Monday appointment is at 9.28am, your payment of $30 is due by August 6th, and your reference code is 548. Do not share the code.",/content/drive/MyDrive/DataForge/noise_masking/outputs/6bd1eb398398af0e/clips/critical_04_baseline_r1_competing_speech_0dB.wav,code,False
critical_04_baseline_r1_competing_speech_-5dB,critical_04,1,competing_speech_-5dB,"Leo Martin, your Monday appointment is at nine twenty a m, your payment of thirty dollars is due by August sixth, and your reference code is five four eight two. Do not share the code.","Leo Martin, your Monday appointment is at 8 p.m. The payment of $30 is due by August 6th. And your reference is coded 5-4-8-8.",/content/drive/MyDrive/DataForge/noise_masking/outputs/6bd1eb398398af0e/clips/critical_04_baseline_r1_competing_speech_-5dB.wav,time,False
critical_04_baseline_r1_competing_speech_-5dB,critical_04,1,competing_speech_-5dB,"Leo Martin, your Monday appointment is at nine twenty a m, your payment of thirty dollars is due by August sixth, and your reference code is five four eight two. Do not share the code.","Leo Martin, your Monday appointment is at 8 p.m. The payment of $30 is due by August 6th. And your reference is coded 5-4-8-8.",/content/drive/MyDrive/DataForge/noise_masking/outputs/6bd1eb398398af0e/clips/critical_04_baseline_r1_competing_speech_-5dB.wav,code,False
critical_04_baseline_r1_competing_speech_-5dB,critical_04,1,competing_speech_-5dB,"Leo Martin, your Monday appointment is at nine twenty a m, your payment of thirty dollars is due by August sixth, and your reference code is five four eight two. Do not share the code.","Leo Martin, your Monday appointment is at 8 p.m. The payment of $30 is due by August 6th. And your reference is coded 5-4-8-8.",/content/drive/MyDrive/DataForge/noise_masking/outputs/6bd1eb398398af0e/clips/critical_04_baseline_r1_competing_speech_-5dB.wav,negation,False
critical_03_baseline_r0_competing_speech_0dB,critical_03,0,competing_speech_0dB,"Nora Chen, your Friday appointment is at two forty five p m, your payment of seventy five dollars is due by July ninth, and your reference code is three nine two six. Do not cancel the booking.","Nora Chen, your Friday appointment is at 2.45pm, your payment of $75.00 is here by July 9th, and your reference code is re926. Do not cancel the booking.",/content/drive/MyDrive/DataForge/noise_masking/outputs/6bd1eb398398af0e/clips/critical_03_baseline_r0_competing_speech_0dB.wav,code,False
critical_03_baseline_r0_competing_speech_-5dB,critical_03,0,competing_speech_-5dB,"Nora Chen, your Friday appointment is at two forty five p m, your payment of seventy five dollars is due by July ninth, and your reference code is three nine two six. Do not cancel the booking.","Nora Chen, your Friday appointment is at 65pm, your payment at $75 is by July 9th, and your reference code is greennights.org by Alan Davis Ray.",/content/drive/MyDrive/DataForge/noise_masking/outputs/6bd1eb398398af0e/clips/critical_03_baseline_r0_competing_speech_-5dB.wav,time,False
critical_03_baseline_r0_competing_speech_-5dB,critical_03,0,competing_speech_-5dB,"Nora Chen, your Friday appointment is at two forty five p m, your payment of seventy five dollars is due by July ninth, and your reference code is three nine two six. Do not cancel the booking.","Nora Chen, your Friday appointment is at 65pm, your payment at $75 is by July 9th, and your reference code is greennights.org by Alan Davis Ray.",/content/drive/MyDrive/DataForge/noise_masking/outputs/6bd1eb398398af0e/clips/critical_03_baseline_r0_competing_speech_-5dB.wav,code,False
critical_03_baseline_r0_competing_speech_-5dB,critical_03,0,competing_speech_-5dB,"Nora Chen, your Friday appointment is at two forty five p m, your payment of seventy five dollars is due by July ninth, and your reference code is three nine two six. Do not cancel the booking.","Nora Chen, your Friday appointment is at 65pm, your payment at $75 is by July 9th, and your reference code is greennights.org by Alan Davis Ray.",/content/drive/MyDrive/DataForge/noise_masking/outputs/6bd1eb398398af0e/clips/critical_03_baseline_r0_competing_speech_-5dB.wav,negation,False
critical_03_baseline_r0_environment_-5dB,critical_03,0,environment_-5dB,"Nora Chen, your Friday appointment is at two forty five p m, your payment of seventy five dollars is due by July ninth, and your reference code is three nine two six. Do not cancel the booking.","Nora Chen, your Friday appointment is at 2.45 p.m. Your payment of $75 is due by July 9th and your reference code is 2926. Do not cancel the booking.",/content/drive/MyDrive/DataForge/noise_masking/outputs/6bd1eb398398af0e/clips/critical_03_baseline_r0_environment_-5dB.wav,code,False
